productcode;productprice;stock;
PR1197PT;984.27;0;
PR12001090ZCL;59.05;261;
PR1200-10-90ZRD;59.05;144;
PR1422A2-60Z;71.46;8;
PR1422B2-60Z;76.73;1647;
PR1422B2PT;155.5;409;
PR1425B1-2;141.4;1164;
PR1773B1-2;127.49;658;
PR1425B1-2-5;114.43;143;
PR1425B1-2PT;218.28;137;
PR1425B2-60Z;134.05;463;
PR1428A1-2;142.19;154;
PR1428A2;134.8;0;
PR1428B1-2;131.95;1038;
PR1428B2;122.25;370;
PR1428B2PT;272.3;56;
PR1428B2PTKT;281.18;0;
PR1436GPT;313.78;52;
PR1440-A1-2-60Z;61.15;179;
PR1440A1-2PTKT;140.36;54;
PR1440A2-654;57.98;404;
PR1440A2PT;152.88;74;
PR1440B1-2PT;153.61;0;
PR1440B2;61.45;0;
PR1440B2PT;148.86;219;
PR1750A1-2;76.94;55;
PR1750A1-2PT;180.5;24;
PR1750A2;72.95;170;
PR1750A2PT;182.34;18;
PR1750B1-2-60Z;80.19;8;
PR1750B1-2PT;190.38;36;
PR1750B2-60Z;80.19;210;
PR1750B2PTKT;196.57;141;
PR1764B2;1288.04;2;
PR1764B2-2-50Z;756.49;0;
PR1772B2-60Z;138.72;332;
PR1773B1-2PT;228.28;9;
PR1775B2-1QT;486.44;6;
PR1775B2-60Z;108.49;666;
PR1776M1-2-60Z;109.59;0;
PR1776M1-2BMPT;249.49;43;
PR1776M2-60Z;103.89;692;
PR1776MB2-60Z;103.89;2142;
PR1776MB2BPT;238.92;53;
PR1776MB2PT;238.92;0;
PR1826A1-2;259.75;18;
PR1826B1-2;202.41;159;
PR1826B1-4;202.41;226;
PR1828B1-2;235.09;66;
PR1828B1-4;247.97;14;
PR1829B1-2;174.34;163;
PR1829B1-4;182.03;84;
PR1829B2;174.34;88;
PR2001B1-2;211.65;813;
PR2001B2-4-50Z;200.65;481;
PS700;379.77;34;
PS700-60Z;180.88;399;
PS860B1-6;146.5;0;
PS870A1-2;96.68;692;
PS870A1-2PTKT;222.34;96;
PS870B1-2;93.31;1922;
PS870B1-2-20Z;74.66;360;
PS870B1-2-60Z;88.46;0;
PS870B1-2PTM;197.06;18;
PS870B1-2QT;379.19;210;
PS870B2-60Z;88.46;2789;
PS870B2-60ZTP2;88.46;0;
PS870B2PTM;203.47;0;
PS870C12;132.27;971;
PS870C12PT;288.45;62;
PS870C24;120.69;550;
PS890A2-60Z;63.67;823;
PS890B1-2;66.61;1110;
PS890B1-2PT;166.5;432;
PS890B2-60Z;66.61;947;
PS890B2PT;166.5;498;
PYR0LUBE;167.88;0;
RHE0LUB733MZ30C;38.86;71;
RHE0LUBE733MZ;265;0;
RTV109-10-1ALU;18.36;303;
RTV133-10-10Z;127.42;0;
RTV3140-30Z;46.05;0;
RTV3145-10-30ZC;154.11;0;
RTV3145-10-30ZG;154.11;0;
RTV3145-30Z;57.76;0;
RTV3145-30ZGRAY;57.76;0;
RTV630-1LB;139.86;0;
RTV730FS30Z;176.8;92;
RTV732-10-10ZBL;10.63;519;
RTV732-10-10ZCL;10.63;1440;
RTV732-10-10ZWH;10.63;194;
RTV732-30Z;6.13;2904;
RTV732-30ZALU;6.46;598;
RTV732-30ZBLK;6.46;400;
RTV732-30ZWHI;6.13;3907;
RTV732-50ZCLR;9.85;351;
RTV732-50ZWHI;9.85;414;
RTV736-10-10ZRD;26.07;618;
RTV736-30ZRED;15.84;1615;
RTV9910;161.84;7;
S01324-160Z;9.64;0;
S500CF275T;7429.56;0;
S500CF330T;8915.46;0;
S500CFD;1485.91;0;
S500CFS;42.2;0;
PR1440B1-2;61.45;1109;
PR1440B2QT;262.6;12;
PS870B1-2-PT;203.47;575;
SATAP275T;11202.97;0;
SATAP80Z;242.78;0;
SILIKR0IL100Z;22.56;72;
SILIKR0IL5GL;0;0;
SILVERG00P;193.9;307;
SPIRAX75W80;0;0;
SPIRAXS75W90;24.89;0;
T8EH80Z;409.94;64;
T8EPASTE;231.39;42;
TECTYL502CQT;56.83;0;
TELLUS22-5GL;212.14;0;
TI0L0NA20;66.24;114;
TI0LUBE20-20QT;162.96;0;
TI0LUBE70;63.31;44;
TI0LUBE70R;86.91;0;
TN3516-24;37.55;475;
TRIB0LUBE15;591.25;1;
TRIB0LUBE15-5GM;95.13;0;
TRIB0LUBE2N;487.09;0;
TRIB0LUBE36RPC;145.79;216;
TRIB0LUBE64RPA;1089.55;10;
TRIB0LUBE64RPC;200.31;459;
TRIB0LUBE64RPC140Z;992.02;0;
TRIB0LUBE64RPC2-2LB;2426.05;16;
TURB0NYC0IL160;42.73;71;
U08466GL;539.05;0;
V66VB11;156.95;2;
VACTRA2-5GL;247.89;58;
VACTRA4-55GL;1473.31;0;
VEL0CITE10-5GL;164.79;0;
WAYCLEAR2275T;5789.9;0;
WAYCLEAR2330T;6947.88;0;
WAYCLEAR2D;1157.97;0;
WD40-1GL;40.29;490;
WD40-55GL;1970.49;0;
WD40-5GL;184.76;20;
WD40APPL;5.6;0;
XHTBDX20Z;166.14;54;
