"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"23031917","aviallaltuser",337.19,2
"23032150","aviallaltuser",15907.51,26
"23032151","aviallaltuser",15907.51,35
"23032152","aviallaltuser",15907.51,36
"23032153","aviallaltuser",15907.51,31
"23032177","aviallaltuser",1608.63,20
"23032214","aviallaltuser",40.03,35
"23032277","aviallaltuser",236.43,380
"23032345","aviallaltuser",3085.74,304
"23032395","aviallaltuser",796.98,169
"23032479","aviallaltuser",19.49,78
"23032481","aviallaltuser",15519.53,22
"23039645","aviallaltuser",40397.25,5
"23057114","aviallaltuser",3195.5,1
"23060467","aviallaltuser",25,1
"6723126-2","aviallaltuser",5848.19,6
"6723126-3","aviallaltuser",3465,3
"6723137-3","aviallaltuser",1066.23,16
"6728014-8","aviallaltuser",105.45,2
"6731153-2","aviallaltuser",3688.71,7
"6731153-3","aviallaltuser",950.23,6
"6735102-8","aviallaltuser",41.44,7
"6739844-5","aviallaltuser",5.43,78
"6739844-7","aviallaltuser",4.65,60
"6739844-8","aviallaltuser",2.92,2787
"6739844-9","aviallaltuser",1.83,1003
"6743301-8","aviallaltuser",426.65,7
"6780746-2","aviallaltuser",44.1,21
"6780746-3","aviallaltuser",40.95,75
"6780747-1","aviallaltuser",146.08,15
"6780747-2","aviallaltuser",76.7,8
"6780822-4","aviallaltuser",727.66,5
"6780822-5","aviallaltuser",1405.69,39
"6780822-7","aviallaltuser",576.63,1
"6800088-3","aviallaltuser",9.49,141
"6800088-6","aviallaltuser",21.62,254
"6800088-8","aviallaltuser",7.82,36
"6816110-1","aviallaltuser",365.34,34
"6820055-7","aviallaltuser",34.14,22681
"6820512-1","aviallaltuser",31.06,142
"6820512-2","aviallaltuser",13.09,22
"6820512-3","aviallaltuser",12.6,2
"6820512-4","aviallaltuser",47.3,10
"6820556-1","aviallaltuser",208.59,14
"6823374-1","aviallaltuser",53.71,11
"6823374-2","aviallaltuser",58.28,20
"6825488-4","aviallaltuser",137.93,2
"6825546-1","aviallaltuser",122.31,9
"6825546-2","aviallaltuser",692.32,25
"6829890-3","aviallaltuser",329.39,6
"6840364-3","aviallaltuser",5.52,68
"6840364-4","aviallaltuser",1.39,71
"6840364-5","aviallaltuser",3.62,42
"6840364-6","aviallaltuser",3.4,1
"6840364-8","aviallaltuser",3.98,9
"6841685-2",,,
"6843356-1","aviallaltuser",214.73,11
"6843357-1","aviallaltuser",427.57,4
"6843357-3","aviallaltuser",512.58,1
"6843358-1","aviallaltuser",318.99,55
"6843358-3","aviallaltuser",474.31,8
"6843358-4","aviallaltuser",466.74,1
"6843361-5","aviallaltuser",472.38,11
"6843362-3","aviallaltuser",1204.87,5
"6843363-1","aviallaltuser",341.62,7
"6843872-4","aviallaltuser",1037.27,96
"6843872-6","aviallaltuser",937.5,40
"6844359-3","aviallaltuser",520.78,10
"6846119-1","aviallaltuser",8.13,1
"6847719-3","aviallaltuser",28.08,344
"6847719-4","aviallaltuser",29.08,32
"6847719-8","aviallaltuser",29.33,10
"6847720-4","aviallaltuser",26.97,28
"6848996-1","aviallaltuser",200.37,154
"6848996-2","aviallaltuser",57.96,263
"6848996-3","aviallaltuser",128.78,3
"6848996-5","aviallaltuser",12.57,27
"6854936-1","aviallaltuser",128.36,22
"6855531-3","aviallaltuser",882.46,9
"6868675-2","aviallaltuser",233.66,1
"6871076-6","aviallaltuser",47.93,52
"6871533-1","aviallaltuser",93.47,32
"6873301-8","aviallaltuser",5,1
"6874924-0","aviallaltuser",44.63,79
"6874924-1","aviallaltuser",133.9,12
"6874924-2","aviallaltuser",117.66,7
"6874924-4","aviallaltuser",111.13,40
"6874924-5","aviallaltuser",124.38,23
"6874924-6","aviallaltuser",112.19,30
"6875011-1","aviallaltuser",163.1,5
"6875011-3","aviallaltuser",22.85,228
"6875527-4","aviallaltuser",288.92,30
"6875527-5","aviallaltuser",288.92,3
"6875529-6","aviallaltuser",1048.45,16
"6875530-6","aviallaltuser",358.34,7
"6875531-3","aviallaltuser",43.31,25
"6876030-3","aviallaltuser",499.62,14
"6877390-1","aviallaltuser",3087.47,1
"6877736-1","aviallaltuser",1908.23,69
"6877736-2","aviallaltuser",1795.36,51
"6887099-1","aviallaltuser",78.75,30
"6887099-2","aviallaltuser",172.49,8
"6889172-1","aviallaltuser",593.16,8
"6889172-2","aviallaltuser",748.29,1
"6889172-3","aviallaltuser",1620.86,19
"6889182-1","aviallaltuser",795.22,14
"6889182-3","aviallaltuser",813.49,2
"6889314-1","aviallaltuser",450.11,7
"6889314-3","aviallaltuser",526.39,6
"6889351-2","aviallaltuser",121.86,57
"6892069-2","aviallaltuser",332.43,15
"6897953-8","aviallaltuser",2.4,7418
"6898224-1","aviallaltuser",124.09,166
"6898224-6","aviallaltuser",57.65,212
"6898224-7","aviallaltuser",91.8,168
"6898224-8","aviallaltuser",103.16,207
"6898577-2","aviallaltuser",514.24,2
"6898577-3","aviallaltuser",566.91,23
"6899282-2","aviallaltuser",520.22,37
"23005291-4","aviallaltuser",1168.41,5
"23005539-1","aviallaltuser",2030.69,1
"23008495-1","aviallaltuser",325.13,41
"23008495-2","aviallaltuser",385.77,23
"23008495-3","aviallaltuser",385.77,36
"23008495-4","aviallaltuser",389.51,12
"23008495-5","aviallaltuser",385.77,8
"23008495-7","aviallaltuser",375.98,4
"23008495-9","aviallaltuser",367.21,15
"23032283-1","aviallaltuser",3729.43,32
"23034183-2","aviallaltuser",1471.37,25
"23039909-1","aviallaltuser",248.62,16
"23051117-1","aviallaltuser",5143.26,159
"23051117-2","aviallaltuser",6558.03,25
"23053898-1","aviallaltuser",59.94,253
"23053898-3","aviallaltuser",27.77,337
"23058149-1","aviallaltuser",72.09,3
"23059568-1","aviallaltuser",6907.26,10
"23059568-3","aviallaltuser",6668.96,16
"23060835-1","aviallaltuser",607.78,111
"23060835-2","aviallaltuser",623.61,92
"23060838-2","aviallaltuser",489.97,14
"23079637-1","aviallaltuser",3068.07,328
"23079637-2","aviallaltuser",5221.77,43
"23087755-1","aviallaltuser",21.6,38
"6726656-90","aviallaltuser",1.53,659
"6727686-19","aviallaltuser",95.89,23
"6735231-33","aviallaltuser",7.5,76
"6739844-10","aviallaltuser",3.89,895
"6739844-12","aviallaltuser",30.58,14
"6739844-15","aviallaltuser",5.7,310
"6739844-17","aviallaltuser",3.92,1848
"6748072-50","aviallaltuser",2.44,201
"6782802-10","aviallaltuser",10.68,12
"6810388-96","aviallaltuser",31.97,10
"6816237-45","aviallaltuser",71.75,221
"6820290-08","aviallaltuser",108.29,53
"6825450-04","aviallaltuser",30.38,107
"6825540-05","aviallaltuser",162.1,50
"6825540-21","aviallaltuser",242.95,49
"6828846-17","aviallaltuser",42.68,798
"6828846-21","aviallaltuser",187.69,11
"6828846-23","aviallaltuser",131.65,4
"6828846-25","aviallaltuser",44.14,9
"6828846-27","aviallaltuser",64.24,18
"6828846-28","aviallaltuser",28.07,96
"6828846-31","aviallaltuser",28.12,26
"6828846-32","aviallaltuser",522.2,12
"6828846-33","aviallaltuser",23.76,73
"6828846-34","aviallaltuser",3.57,402
"6840383-13","aviallaltuser",32.49,1468
"6840383-14","aviallaltuser",54.67,12
"6840383-16","aviallaltuser",43.78,1379
"6841662-08","aviallaltuser",104.48,30
"6841662-13","aviallaltuser",37.37,219
"6841662-15","aviallaltuser",60.16,74
"6841662-16","aviallaltuser",22.05,205
"6841662-18","aviallaltuser",31.64,188
"6846196-16","aviallaltuser",30.17,444
"6871521-11","aviallaltuser",38.48,489
"6871521-12","aviallaltuser",37.04,777
"6871521-13","aviallaltuser",30.58,3087
"6871521-14","aviallaltuser",60.39,324
"6871521-16","aviallaltuser",29.33,106
"6871521-17","aviallaltuser",54.74,33
"6871522-10","aviallaltuser",31.52,134
"6871526-15","aviallaltuser",111.38,28
"6871529-12","aviallaltuser",116.2,79
"6871603-07","aviallaltuser",86.06,118
"6871603-08","aviallaltuser",18.42,618
"6876097-03","aviallaltuser",257.33,269
"6876097-04","aviallaltuser",179.26,271
"6898224-10","aviallaltuser",72.5,124
"23037873-03","aviallaltuser",36.68,75
"23037873-05","aviallaltuser",60.02,18
"23037873-06","aviallaltuser",12.86,45
"23037873-08","aviallaltuser",13.7,22
"23037873-16","aviallaltuser",18.57,3
"23039030-01","aviallaltuser",11.96,37
"23039030-02","aviallaltuser",14.33,224
"23039030-03","aviallaltuser",11.68,352
"23039030-04","aviallaltuser",10.16,708
"23039030-05","aviallaltuser",22.18,504
"23039030-07","aviallaltuser",30.65,13
"23039030-08","aviallaltuser",149.04,1150
"23039030-09","aviallaltuser",17.16,73
"23052974-04","aviallaltuser",34.28,41
"23052974-09","aviallaltuser",16.33,30
"23052974-10","aviallaltuser",34.13,122
"23052974-16","aviallaltuser",21.08,35
"AN815-4J","aviallaltuser",45.89,3
"AN919-3J","aviallaltuser",21.17,15
