"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"6822222","PLUG: MAGNETIC,MACHINE THREAD, REDUCTION GEAR ASSEMBLY","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",26,null,0,"aviallaltuser",688.13,"","https://shop.boeing.com/aviation-supply/p/6822222=T5","{\"$date\":\"2024-02-13T19:38:56.689Z\"}","{\"$date\":\"2024-02-25T15:59:12.830Z\"}"
"6823112","WASHER: FLT,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",34,null,0,"aviallaltuser",67.98,"","https://shop.boeing.com/aviation-supply/p/6823112=T5","{\"$date\":\"2024-02-13T19:41:31.340Z\"}","{\"$date\":\"2024-02-25T16:01:43.501Z\"}"
"6823166P004","STUD:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",83,null,0,"aviallaltuser",24.4,"","https://shop.boeing.com/aviation-supply/p/6823166P004=T5","{\"$date\":\"2024-02-13T19:44:32.470Z\"}","{\"$date\":\"2024-02-25T16:50:14.048Z\"}"
"6823167P004","STUD:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,null,0,"aviallaltuser",null,"","https://shop.boeing.com/aviation-supply/p/6823167P004=T5","{\"$date\":\"2024-02-13T19:45:20.998Z\"}","{\"$date\":\"2024-02-25T20:01:30.747Z\"}"
"6823169","NUT: HEX HD,SELF-LKG,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",299,"https://www.aviall.com/content-images/6823169=64_120.JPG",0,"aviallaltuser",118.53,"","https://shop.boeing.com/aviation-supply/p/6823169=64","{\"$date\":\"2024-02-13T19:45:49.937Z\"}","{\"$date\":\"2024-02-25T15:28:34.054Z\"}"
"6823170","WASHER: FLT,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",7,"https://www.aviall.com/content-images/6823170=64_120.JPG",0,"aviallaltuser",184.35,"","https://shop.boeing.com/aviation-supply/p/6823170=R4","{\"$date\":\"2024-02-13T19:46:16.683Z\"}","{\"$date\":\"2024-02-25T18:54:40.459Z\"}"
"6823260","SPACER: SLEEVE,.206 ID,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",0,"https://www.aviall.com/content-images/6823260=64_120.JPG",0,"aviallaltuser",20.19,"","https://shop.boeing.com/aviation-supply/p/6823260=64","{\"$date\":\"2024-02-13T19:47:07.320Z\"}","{\"$date\":\"2024-02-25T15:29:57.791Z\"}"
"6824286","VALVE: SOLENOID MAN. DRAI,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",1,null,0,"aviallaltuser",9607.5,"","https://shop.boeing.com/aviation-supply/p/6824286=T5","{\"$date\":\"2024-02-13T19:52:47.887Z\"}","{\"$date\":\"2024-02-25T16:16:55.396Z\"}"
"6824636","WASHER: KEY,ST,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",137,"https://www.aviall.com/content-images/6824636=T5_120.JPG",0,"aviallaltuser",39.08,"","https://shop.boeing.com/aviation-supply/p/6824636=T5","{\"$date\":\"2024-02-13T19:54:05.096Z\"}","{\"$date\":\"2024-02-25T15:35:05.741Z\"}"
"6824964","SPACER: SLEEVE GEARSHAFT,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",0,null,0,"aviallaltuser",null,"","https://shop.boeing.com/aviation-supply/p/6824964=MN","{\"$date\":\"2024-02-13T19:54:57.726Z\"}","{\"$date\":\"2024-02-25T18:49:47.969Z\"}"
